                REGISTER JASKÝŇ
     Názov                                 Číslo jaskyne
Prízemná jaskyňa                                              2 985
Prosiecka jaskyňa                                               540
Prostredný grúň 1                                             6 449
Prostredný grúň 2                                             6 450
Prostredný grúň 6                                             6 451



                                             Page 97 of 131
Prostredný grúň 7                                        6 452
Prošekova studňa                                         2 573
Protipuklina                                             4 261
P-rúra                                                   1 915
Prútiková priepasť                                       2 807
Pružinská Dúpna jaskyňa                                  5 513
Prvá diera                                               4 778
Prvá Hipmanova sonda                                     1 916
Prvá jaskyňa                                               664
Prvé zastavenie                                          5 009
Pseudokrasová na Lysci                                   6 208
Pseudokrasový závrt                                      5 735
Psia diera                                               3 380
Psia diera                                               2 986
Psia jama                                                2 642
Psia jaskyňa                                               440
Psia priepasť                                            2 808
Pstružia jaskyňa                                         3 703
Ptičianske abri                                          6 868
Púčekova jaskyňa pod bralom                              1 115
Pueblo                                                   4 779
Pukavica                                                 5 736
Puklina                                                  1 917
Puklina                                                  2 987
Puklina                                                  4 262
Puklina                                                  2 410
Puklina                                                  2 643
Puklina                                                     68
Puklina na hrebeni                                       5 970
Puklina na Javorovom brde                                6 050
Puklina na Pohanskej                                     1 414
Puklina nad lavínou                                      2 988
Puklina nad mostom                                       2 989
Puklina nad Ovosným rebrom                               2 990
Puklina nad tristarským sedielkom                        5 882
Puklina nad Tunelovým portálom                           7 086
Puklina pískajúce buky                                   6 780
Puklina pod bralom                                         596
Puklina pod cestou                                       7 174
Puklina pod Malokrivánskou priepasťou                      961
Puklina pod orechom                                      1 448
Puklina pod Skrytou priepasťou                           5 971
Puklina pod Spismichalovým tunelom                       5 972
Puklina pri Amerike                                      6 123
Puklina pri Západnej dvojitej                            2 991
Puklina P-5                                              3 381
Puklina v Medveďom údolí                                   288
Puklina v rozpadline                                     5 973
Puklina v Skale                                          6 956
Puklina v Sninovskom kameni                              6 877
Puklina v Sokolovej                                      1 918
Puklina vo Vyšných Zámkoch                               5 974
Puklinová diera                                          5 737
Puklinová diera                                          6 957
Puklinová horná jaskyňa                                    396
Puklinová jaskyňa                                        5 010



                                        Page 98 of 131
Puklinová jaskyňa                                         2 992
Puklinová jaskyňa                                         4 780
Puklinová jaskyňa                                            46
Puklinová jaskyňa                                         1 315
Puklinová jaskyňa                                           893
Puklinová jaskyňa                                           350
Puklinová jaskyňa                                           349
Puklinová jaskyňa                                         1 173
Puklinová jaskyňa                                         4 263
Puklinová jaskyňa                                         6 453
Puklinová jaskyňa                                         6 455
Puklinová jaskyňa                                         1 116
Puklinová jaskyňa                                         6 454
Puklinová jaskyňa                                         1 919
Puklinová jaskyňa                                           962
Puklinová jaskyňa                                         5 514
Puklinová jaskyňa                                         4 990
Puklinová jaskyňa                                         5 076
Puklinová jaskyňa                                         5 975
Puklinová jaskyňa                                            73
Puklinová jaskyňa I                                         708
Puklinová jaskyňa I                                       5 756
Puklinová jaskyňa I                                         289
Puklinová jaskyňa I                                       4 781
Puklinová jaskyňa II                                        709
Puklinová jaskyňa II                                      4 782
Puklinová jaskyňa II                                        290
Puklinová jaskyňa II                                      5 757
Puklinová jaskyňa pod Ostricou                            5 264
Puklinová jaskyňa pod Rumanovým štítom                    5 976
Puklinová jaskyňa pod Skalkou                               676
Puklinová jaskyňa pod Sokolou                               118
Puklinová jaskyňa pod vyhliadkou                          1 920
Puklinová jaskyňa pri Medvedej                              291
Puklinová jaskyňa pri Notre Dame                          1 379
Puklinová jaskyňa pri serpentínach                        1 921
Puklinová jaskyňa v Bielej skale                          1 316
Puklinová jaskyňa v Bielej skale                          6 589
Puklinová jaskyňa v Cajle                                 1 380
Puklinová jaskyňa v Krčahove                              1 922
Puklinová jaskyňa v Pariakovej                            2 682
Puklinová jaskyňa v Radových skalách                      6 104
Puklinová jaskyňa v Roháči                                5 714
Puklinová jaskyňa v Šuštiačke                             1 923
Puklinová jaskynka                                        6 843
Puklinová na terase 1                                       146
Puklinová na terase 2                                       147
Puklinová na terase 3                                       148
Puklinová pod Medzianskym hradom                             21
Puklinová pri Pekle                                         209
Puklinová priepasť                                        3 206
Puklinová priepasť                                        6 958
Puklinová priepasť                                        6 124
Puklinová priepasť na Meškove                             6 781
Puklinová priepasť 1                                      5 515
Puklinová priepasť 2                                      5 516



                                         Page 99 of 131
Puklinová priepasť 4                                5 517
Puklinová priepasť 5                                5 518
Puklinová priepasť 6                                5 519
Puklinová priepasť 7                                5 520
Puklinová priepasť 8                                5 521
Puklinová tunelová jaskyňa                          1 236
Puklinová v Pečipalke                               5 738
Puklinovo-korózna jaskyňa                           2 545
Pukliny nad ponorom                                 5 977
Pukliny oproti ponoru Volariská                     6 125
Puknutá skala                                       4 783
Pustá jaskyňa                                       4 784
Pustá priepasť                                      3 704
Pustajova jaskyňa                                     133
Pustovňa                                            3 140
Pustovňa                                            4 785
Pustovnícka jaskyňa                                 6 803
Pustovníkova jaskyňa                                5 629
Pyramída                                            3 382
Pyritová sonda                                        963
Pytagorejská jaskyňa                                1 924
Pytliacka jaskyňa                                   4 264
Pytliacka jaskyňa v Hustom                          5 265
Pytliakova jaskyňa                                  4 786
Racvalova dolina l                                  6 456
Radar                                               3 141
Rádiová jaskyňa                                     2 146
Rajecké skalky 1                                    5 655
Rajecké skalky 2                                    5 656
Rajecké skalky 5                                    5 657
Rajecké skalky 6                                    5 658
Rajecké skalky 7                                    5 659
Rajecké skalky 8                                    5 660
Rajecké skalky 9                                    5 661
Rajecké skalky 10                                   5 662
Rajecké skalky 11                                   5 663
Rajecké skalky 12                                   5 664
Rajecké skalky 13                                   5 665
Rajecké skalky 14                                   5 666
Rajecké skalky 15                                   5 667
Rajecké skalky 16                                   5 668
Rajecké skalky 17                                   5 669
Rajecké skalky 18                                   5 670
Rákytie                                             6 782
Rakytová                                            6 457
Rakytovo                                            6 458
Randavica 1                                         4 265
Randavica 2                                         4 266
Rárohova jaskyňa                                    4 787
Rasťova diera                                       6 188
Raticová jaskyňa                                    4 788
Ráztočnianska vyvieračka                            7 175
Rebríková jaskyňa                                   2 574
Rebríková jaskyňa                                   6 783
Rebrová jaskyňa                                     4 789
Rekreačná jaskyňa                                     140



                                  Page 100 of 131
Relikt nad Peško                                              597
Relikt pri Lipovníckom Veľkom Zombore                       2 993
Reliktá jaskyňa II                                          3 861
Reliktná jaskyňa I                                          3 862
Reliktná priepasť pri Dievčenskej skale                     3 705
Remať                                                       5 187
Remiáška                                                    4 790
Remová                                                      6 459
Reova jaskyňa                                               4 267
Revúcka sonda                                               4 268
Rezaná jaskyňa                                              3 863
Rezbárova baňa                                              2 662
Rezervovaná jaskyňa                                         3 142
Riavka                                                        351
Riečanská jaskyňa                                           4 991
Riečna diera                                                5 188
Riečna jaskyňa                                              4 791
Riečna jaskyňa                                                397
Riečna jaskyňa                                              1 381
Riečna jaskyňa pod sedmičkou                                1 925
Riečny fragment                                             1 926
Richtárová I                                                4 992
Richtárová II                                               4 993
Riť Uhorska                                                   773
Robova komora                                               3 383
Rodákova diera                                              6 189
Rohová jaskyňa                                              3 384
Románska chodba                                             6 959
Rončova jaskyňa                                             3 385
Ropušia priepasť                                            2 809
Roštúnska priepasť                                          1 317
Rovná diera                                                 3 386
Rozimova jaskyňa                                            4 994
Rozlámaná jaskyňa                                           1 001
Rozožratá skala                                             4 269
Rozpadnutá jaskyňa                                          1 927
Rozpadnutá skala 1                                          1 928
Rozpadnutá skala 2                                          1 929
Rozpadnutá skala 4                                          1 930
Rozpadnutá skala 5                                          1 931
Rozpadnutý Grúň 1                                           6 051
Rozpadnutý Grúň 2                                           6 052
Rozpadnutý Grúň 3                                           6 053
Rozpadnutý Grúň 4                                           6 054
Rozpadnutý Grúň 5                                           6 055
Rozpadnutý Grúň 6                                           6 056
Rozpadnutý Grúň 7                                           6 057
Rozsadlina                                                  4 792
Rozsadlina                                                    554
Rozsadlina na Kečke                                         5 758
Rozsadlina na Mníchu                                        6 190
Rozsadlina na Uhliskách 1                                   6 460
Rozsadlina na Uhliskách 2                                   6 461
Rozsadlina pri Pustej                                       1 932
Rozsadlina štvrtá sestra                                    1 933
Rozsadlina v Ráztoke                                        6 081



                                          Page 101 of 131
Rozsadlinová jaskyňa                                         1 934
Rozsadlinová jaskyňa                                           119
Rozsadlinová jaskyňa                                         2 994
Rozsadlinová jaskyňa pod Červenou skalou                       120
Rozsadlinová jaskyňa v Krkavčej skale                        3 207
Rozsadlinová priepasť                                        2 995
Rozsadlinová priepasť I                                      7 103
Rozsadlinová priepasť II                                     7 104
Rozsadlinová priepasť v Nárožnej                             5 266
Rozsypaná jaskyňa                                            5 883
Rumpálový závrt                                              5 189
Rupa                                                           134
Rúra                                                         6 960
Rúra                                                         1 935
Rúra dolu hlavou                                             1 936
Rúra nad dómom                                               1 937
Rúra nad Limonitovou jaskyňou                                3 864
Rúrovitá jaskyňa                                             4 793
Rúrovitá jaskyňa                                             6 784
Rúrovitá jaskyňa pod Skautskou                               1 938
Rútená jaskyňa                                               1 939
Rútená jaskyňa                                               2 996
Rútená jaskyňa I                                             2 810
Rútená jaskyňa II                                            2 811
Rútivá diera                                                 4 794
Rútivá jaskyňa                                               5 315
Ružinská diera                                               2 537
Ružínske abri                                                  292
Ružínske okno                                                  293
Ružová jaskyňa                                               4 795
Ružová jaskyňa                                               1 382
Ružová rozsadlina                                            2 997
Ružový previs                                                6 462
Rybárova diera                                               4 796
Rybník                                                       3 208
Rysia diera                                                  6 126
Rysia diera                                                  6 961
Rysia jaskyňa                                                4 797
Rysia jaskyňa                                                1 940
Rysia jaskyňa v Rysích skalách                               2 689
Rysia priepasť                                               3 387
Rysia priepasť                                               6 191
Rysie hniezdo                                                4 270
Rysovec                                                      6 881
Sadbická priepasť I                                          3 706
Sadbická priepasť II                                         3 707
Sádrovcová jaskyňa                                           7 148
Salamandra                                                     121
Salamandria jaskyňa                                          7 065
Salamandria jaskyňa                                          6 844
Salamandria jaskyňa                                          4 798
Salamandria jaskyňa                                          5 190
Salamandria priepasť                                         6 785
Salamandrová jaskyňa                                         7 158
Salaš                                                        6 192
Salaš v previse                                              6 463



                                           Page 102 of 131
Salaš 1                                          6 464
Salaš 2                                          6 465
Salašná                                          6 245
Salatínska sonda                                 2 195
Samá diera                                       6 466
Samov skok                                       2 528
Samova diera                                     3 388
Samova diera                                     1 941
Samova jaskyňa                                   4 271
Samý vrch                                           54
Sedem puklín                                     3 865
Sedielko                                         7 159
Sedielko                                         1 942
Sedlákova diera                                  5 884
Sedmička                                         1 383
Semafor                                          4 272
Semerteš                                         2 998
Senilná jaskyňa nad mostíkom                     6 127
Senovištia                                       3 708
Serpentínová jaskyňa                             3 389
Sesterská priepasť                               2 812
Sestrošova diera                                   828
Severná diera                                       47
Severná diera                                    4 799
Severná diera                                    3 390
Severná jaskyňa                                    441
Severná jaskyňa                                  4 800
Severná jaskyňa                                  1 237
Severná kráľova jaskyňa                          3 866
Severná priepasť                                   184
Severná sonda                                    5 267
Severné abri                                     4 801
Severný brloh                                    4 802
Severný komín                                    3 143
Sezam                                            5 759
Siedma brána                                     1 117
Silická kvapľová jaskyňa                         3 709
Silická ľadnica                                  3 710
Silická zvonivá diera                            3 711
Silicko-gombasecký ponor                         3 712
Silnického jaskyňa                               1 384
Silova jaskyňa                                   1 449
Silvia                                           4 273
Silvošova diera                                  1 943
Sintrová jaskyňa                                 3 867
Sintrová jaskyňa                                 4 803
Sintrová jaskyňa                                 4 274
Sintrová jaskyňa                                   541
Sintrová jaskyňa                                    74
Sintrová puklina                                 2 999
Sírová jaskyňa                                   1 944
Sitárka deky                                     4 275
Sitárka dva                                      4 276
Sitárka jeden                                    4 277
Sitárka puklina                                  4 278
Sitárka tri                                      4 279



                               Page 103 of 131
Sitárka tunel a most                                  4 280
Sitekov sen                                           6 786
Sivá jaskyňa                                          3 868
Sivá jaskyňa                                          4 281
Sivá jaskyňa                                          6 193
Skala                                                 6 962
Skala 2                                               6 963
Skalická jaskyňa                                        598
Skalická sonda                                        2 529
Skalický meander                                      4 282
Skalina                                               4 804
Skalistý potok                                        3 144
Skalka                                                5 191
Skalka                                                5 316
Skalná brána                                            122
Skalná brána                                          1 238
Skalná brána                                          4 805
Skalná brána Malá Stožka                              4 283
Skalná brána v Havranovej                             6 467
Skalná brána v Hubnej                                 6 468
Skalná diera                                          3 391
Skalná diera                                          7 176
Skalná diera                                          4 806
Skalná diera I                                          831
Skalná diera v Čingove I                              4 807
Skalná diera v Čingove II                             4 808
Skalná diera v Havranej skale I                       4 809
Skalná diera v Havranej skale II                      4 810
Skalná dutina s jazierkom                             3 392
Skalná dutina v Maši                                    599
Skalná jaskyňa                                        5 522
Skalná rúra                                           2 644
Skalná trhlina                                          185
Skalnatá priepasť                                     2 813
Skalnatý ponor                                        3 713
Skalné okno                                           4 811
Skalné okno s bránou                                  4 812
Skalné okno v Tesnine                                 4 813
Skalný brloh                                          4 814
Skalný labyrint                                       6 964
Skalný previs nad Dolnou Mažarnou                     6 469
Skalný výklenok I                                     5 715
Skalný výklenok II                                    5 716
Skalný výklenok pri Sove                              5 717
Skalolezecká jaskyňa I                                3 714
Skalolezecká jaskyňa II                               3 715
Skautská jaskyňa                                        186
Skautská jaskyňa                                      1 945
Skerešovská jaskyňa                                     600
Skladisko                                               774
Skladisko                                             1 946
Skladisko                                             2 252
Sklenená puklina                                      3 869
Skobjakova diera                                      3 870
Skok                                                  4 815
Skoková dolinka 4                                     1 947



                                    Page 104 of 131
Skoková dolinka 5                                1 948
Skoková dolinka 3                                1 949
Skoková puklina                                  4 284
Skorušova diera                                  5 978
Skryšná diera                                    6 265
Skrytá diera                                     3 393
Skrytá diera                                     5 885
Skrytá jaskyňa                                   4 285
Skrytá jaskyňa                                   4 816
Skrytá jaskyňa                                   1 950
Skrytá jaskyňa                                   3 000
Skrytá jaskyňa pod Kresadlom                     3 001
Skrytá priepasť                                  5 979
Skrytá riečna jaskyňa                            1 951
Skrytá sieň                                      3 002
Skrytá trhlina                                   3 003
Skrývačka                                        2 324
Skrývačka                                        4 817
Skřivánkova jaskyňa                              2 814
Skutočná jaskyňa                                   123
Sladičová jaskyňa                                5 317
Slamená diera                                    3 394
Slančíkova jaskyňa                               6 058
Slaniniarka                                      4 286
Slaninová diera                                  3 145
Slaninová jaskyňa                                3 146
Slavkovská jaskyňa                                 124
Slepá diera                                      1 118
Slepé diery 1 a 2                                3 209
Slepé mosty                                      2 253
Slepé mosty 2                                    2 254
Slepúchova diera                                 7 137
Slepúchova priepasť                              2 815
Slezačka                                         5 095
Sliačanská jaskyňa                               2 196
Slimačia jaskyňa                                 6 965
Slimačia priepasť                                2 816
Slimačia ulita                                   6 194
Slnečná diera                                    4 818
Slnečná jaskyňa                                  1 174
Slnečná priepasť                                 3 395
Slnečná priepasť                                 2 817
Slonia jaskyňa                                   2 818
Slonie kly                                       4 287
Slopy                                            1 175
Slovenský úkryt I                                  832
Slovenský úkryt II                                 833
Slovinská jaskyňa I                              6 966
Slovinská jaskyňa II                             6 967
Sľubová jaskyňa                                  1 176
Slušná jaskyňa                                   1 209
Smradľavá diera                                  3 396
Smradľavá jaskyňa                                5 523
Smradľavá jaskyňa                                1 952
Smradľavá jaskyňa                                  398
Smradľavé abri                                   5 318



                               Page 105 of 131
Smreková priepasť                                          3 397
Snehová jaskyňa                                            3 398
Snežienková jaskyňa                                        5 524
Snežienková priepasť                                       3 716
Snežná diera                                               3 004
Snežná jama                                                2 197
Snežná jama                                                4 819
Snežná priepasť                                            6 059
Snežná priepasť                                            3 717
Snežná rozsadlina                                            799
Sobotisko                                                    442
Sokolejská priepasť II                                     6 869
Sokolejská rozsadlina I                                    6 870
Sokolejská rozsadlina II                                   6 871
Sokolia dolina I                                           4 820
Sokolia dolina II                                          4 821
Sokolia jaskyňa                                            4 822
Sokolia jaskyňa                                              125
Sokolia priepasť                                           3 871
Sokolica                                                   4 823
Sokolie                                                    5 301
Sokolie                                                    5 525
Sokolík                                                    6 872
Sokolová                                                   6 470
Sokolová                                                   1 953
Sokolová                                                   6 873
Sokolovo                                                   5 011
Solimál                                                    7 094
Sonda                                                      1 954
Sonda Belákovec                                            1 210
Sonda ČT                                                   5 156
Sonda CH2                                                  1 119
Sonda JKKMD                                                1 211
Sonda Komsomolcov                                          1 212
Sonda medzi Malolačniakom a Kresanicou                     6 060
Sonda na Dubnej skale                                      1 120
Sonda na Lavíništi                                         2 147
Sonda na lúčke                                             1 121
Sonda na Záklukách                                           542
Sonda nad Ignácom                                             48
Sonda nad kameňolomom                                      2 470
Sonda nad Krčahovom I                                      1 955
Sonda nad Krčahovom II                                     1 956
Sonda nad Lomnistou                                        2 148
Sonda nad Lučivnianskou jaskyňou 1                           710
Sonda nad Medzibrodím                                      1 957
Sonda nad Novou Domicou                                    3 718
Sonda nad novým tunelom                                    6 787
Sonda nad Potôčkami                                          352
Sonda nad Striebornou jaskyňou                             1 958
Sonda nad Vyšnými lúkami                                     665
Sonda nad vyvieračkou                                      5 526
Sonda nad Zadnou vodou                                     1 959
Sonda pod Ľaliovým sedlom                                  6 061
Sonda pod listom                                           1 213
Sonda pod Malou skalou                                     1 318



                                         Page 106 of 131
Sonda pod stenou                                           964
Sonda pod Temniakom                                      6 062
Sonda pod Vencovou                                         999
Sonda Polomčanov                                         4 288
Sonda polygón                                              965
Sonda pri Dymovej                                        3 399
Sonda pri Ikovej diere                                   2 819
Sonda pri Jánošíkovej jaskyni                            5 527
Sonda pri Kanálovej jaskyni                              1 960
Sonda pri Malej jaskyni pod Baštou                       1 961
Sonda pri Malom vodopáde v Šuštiačke                     1 962
Sonda pri moste                                          1 963
Sonda pri Ofrflanej                                      1 319
Sonda pri ohnisku                                        6 645
Sonda pri Speleodomci                                    1 964
Sonda pri Vrátnici                                         126
Sonda so skalným dnom                                    3 400
Sonda stratenej dcéry                                    1 385
Sonda Strieborná                                         4 289
Sonda v Čiernom dieli                                    2 161
Sonda v Hlbokej dolinke                                  1 965
Sonda v Hrubej Kačke                                     5 528
Sonda v Humenci-spodná                                     228
Sonda v Malcove                                          6 646
Sonda v Sivom vrchu I                                    6 195
Sonda v Sivom vrchu II                                   6 196
Sonda v Stodôlke                                         1 966
Sonda v závrte                                           7 119
Sonda v závrte na Hagareje lazy                          5 077
Sonda v závrte nad Berekom                               3 147
Sonda Veverica                                             353
Sonda vľčat                                              2 645
Sonda vo výduchu                                         6 471
Sonda za Daričným vŕškom                                    49
Sonda 54                                                 1 967
Sonda 9 vo Vrátnej                                         966
Sopkov kameň 1                                           5 157
Sopkov kameň 2                                           5 158
Sopkov kameň 3                                           5 159
Sopkov kameň 4                                           5 160
Sopotná                                                  1 028
Sopúch                                                   5 012
Sová 1                                                   1 450
Sová 2                                                   1 451
Sovia hostina                                            5 268
Sovia jaskyňa                                            1 386
Sovia jaskyňa                                            1 214
Sovia jaskyňa                                            3 872
Sovia jaskyňa                                              601
Sovia priepasť                                           3 719
Sovia priepasť                                           3 401
Sovia priepasť                                           3 005
Sovie oči                                                1 968
Sovie oči I                                              5 630
Sovie oči II                                             5 631
Spálňa                                                   6 472



                                       Page 107 of 131
Spálňa                                             4 824
Spismichalov tunel                                 5 980
Spismichalova diera                                5 981
Spismichalova jaskyňa                              5 982
Spodná jaskyňa v Kamenici                          5 124
Spodná hlinená sonda                               1 969
Spodná jaskyňa                                     5 983
Spodná jaskyňa                                     5 125
Spodná jaskyňa                                       602
Spodná kráľova jaskyňa                             3 873
Spodná sutinová jaskyňa                              187
Spomienková priepasť                               6 788
Srdcová jaskyňa                                    4 290
Srnčia diera                                       4 825
Srnčia jaskyňa                                     5 886
Srnčia priepasť                                    4 826
Srnčia priepasť                                    3 402
Srnčia priepasť                                    2 820
Srnčia priepasť                                    2 149
Srnčia priepasť                                    3 720
Stanišovská jaskyňa                                1 970
Stankovianska jaskyňa                              6 789
Stará bohatá                                       1 452
Stará brzotínska jaskyňa                           3 403
Stará diera                                        3 404
Stará jaskyňa pri Kolovej veži                     3 006
Stará Poľana                                       1 971
Stará riečna jaskyňa                               1 972
Stará stratenecká jaskyňa                            967
Stará Šrolova sonda x                              6 197
Stará vretenica                                    1 973
Stará vyvieračka v úvoze                           1 215
Staré Hájne 1                                      1 387
Staré Hájne 2                                      1 388
Staré smetisko                                     1 974
Starnianska jaskyňa                                   69
Starobylá jaskyňa                                  4 291
Staronová jaskyňa                                  7 177
Starý ardovský ponor                               3 721
Starý brloh                                        4 827
Starý Drienok                                      7 120
Starý háj                                          5 137
Starý komín                                        1 975
Starý mlyn                                         4 995
Starý plášť 1                                      1 320
Starý plášť 2                                      1 321
Starý plášť 3                                      1 322
Starý výver                                          354
Stenlyho jaskyňa                                   1 415
Stĺpová jaskyňa                                      188
Stodoliská                                         2 821
Stodôlka 4                                         1 976
Stodôlka 14                                        1 977
Stodôlka 18                                        1 978
Stodôlka 19                                        1 979
Stodôlka 20                                        1 980



                                 Page 108 of 131
Stodôlka 21                                        1 981
Stodôlka 27                                        1 982
Stodôlka 30                                        1 983
Stodôlka 31                                        1 984
Stodôlka 33                                        1 985
Stopkatá jaskyňa                                   3 722
Stráňavská jaskyňa                                 1 122
Stratená diera                                     5 529
Stratená jaskyňa v Sivej skale                       149
Stratená vyvieračka                                5 984
Stratené veže - Puklinová                          5 632
Stratené veže-závalová                             5 633
Stratenecká priepasť                                 968
Stratený brloh                                     1 986
Stratený potok                                     4 292
Strážny rígeľ                                      2 530
Stredná hlinená sonda                              1 987
Stredná jaskyňa                                    4 828
Stredná jaskyňa v Majde-Lieští                     6 790
Stredná závadská jaskyňa                           5 718
Stredová priepasť                                  2 822
Strecha                                              443
Strelcova jaskyňa                                  5 530
Strelec 1                                          5 531
Strelec 2                                          5 532
Strelec 3                                          5 533
Strelená jaskyňa                                   6 246
Strieborná jama                                    3 210
Strieborná jaskyňa                                 1 988
Strieborná 1                                       4 293
Strieborná 2                                       4 294
Strieborná 3                                       4 295
Strieľaná jaskyňa                                  5 760
Strieľaná jaskyňa                                  6 968
Strmá jaskyňa                                      5 985
Strmá jaskyňa                                      4 829
Strmá jaskyňa                                      5 534
Strmina                                            2 823
Strmý chodník                                        503
Stromy                                             2 646
Strúžne I                                          1 989
Strúžne II                                         1 990
Studená diera                                        355
Studená diera                                      1 992
Studená diera                                      5 986
Studená diera                                      1 991
Studená jamka I                                      135
Studená jamka II                                     136
Studená jaskyňa                                    4 296
Studená jaskyňa                                      294
Studená studňa                                       666
Studenec                                           5 013
Studňa                                             4 298
Studňa                                             5 634
Studňa                                               295
Studňa                                             4 297



                                 Page 109 of 131
Studňa                                                 4 830
Studňa                                                 2 824
Studňa                                                 3 007
Studňa na Jame                                         1 993
Studňa na Ragáči                                         189
Studňa pod Drienkom                                    2 386
Studňa pod Ostrým vrchom                                 543
Studňa skalného mesta                                  6 198
Studňa v hrebeni Červených skál                        5 635
Studňa v Záskalí                                       2 387
Studnica                                                 603
Studnica 2                                               604
Studničná jaskyňa                                      5 078
Stupačková diera I                                     4 831
Stupačková diera II                                    4 832
Stúpajúca diera pri Stanišovskej                       1 994
Stúpajúca tunelová jaskyňa                             1 995
Stúpajúci kanál                                        1 996
Stupienok                                              3 008
Suchá Belá 3                                           4 833
Suchá diera                                            6 969
Suchá diera                                              711
Suchá diera                                            6 473
Suchá diera                                            3 009
Suchá diera                                            4 834
Suchá diera pri Vernári                                4 835
Suchá diera 1                                          6 970
Suchá diera 2                                          6 971
Suchá diera 3                                          6 972
Suchá diera 4                                          6 973
Suchá diera 5                                          6 974
Suchá diera - Mokrá diera                              5 987
   Suchá diera                               5987.1.
